"id","delete_no","ship_num","block_name","start_point","central_point","end_point","wagon_num","receiving_scheduled","delivery_scheduled","work_date","create_at","update_at","ship_num_change_flag","block_name_change_flag","start_point_change_flag","central_point_change_flag","end_point_change_flag","comment1_change_flag","ship_flag","receiving_flag","departure_flag","delete_flag","comment1","comment2"
78,"15","5296","8-16 UST","E棟",,"","2",8:00:00,8:30:00,2023/02/17,2022/09/29 11:49:38.943,2022/09/29 11:49:38.943,False,False,False,False,False,False,False,False,False,False,"要注意","重たいブロック"
79,"16","5507","5D5-SUP","ﾔｰﾄﾞ",,"J棟","1",9:00:00,9:45:00,2023/02/17,2022/09/29 11:49:38.944,2022/09/29 11:49:38.944,False,False,False,False,False,False,False,False,False,False,"要注意","重たいブロック"
80,"17","5507","G5D5S","ﾔｰﾄﾞ",,"J棟","2",10:00:00,10:45:00,2023/02/17,2022/09/29 11:49:38.945,2022/09/29 11:49:38.945,False,False,False,False,False,False,False,False,False,True,"要注意","重たいブロック"
81,"18","5506","HC1APS","E棟",,"","5",11:00:00,11:30:00,2023/02/17,2022/09/29 11:49:38.946,2022/09/29 11:49:38.946,False,False,False,False,False,False,False,False,False,False,"要注意","重たいブロック"
82,"19","5192","３Ｇ－１７６","ＣＲ３",,"825海","4",11:30:00,12:30:00,2023/02/17,2022/09/29 11:49:38.947,2022/09/29 11:49:38.947,False,False,False,False,False,False,False,False,False,False,"要注意","重たいブロック"
83,"20","5205","６Ｕ－１４Ｐ","Ｋ２",,"202","4",13:30:00,14:30:00,2023/02/17,2022/09/29 11:49:38.948,2022/09/29 11:49:38.948,False,False,False,False,False,False,False,False,False,True,"要注意","重たいブロック"
84,"21","5505","ＧＳ３Ｓ","Ｐ３",,"Ｐ５","4",15:30:00,16:15:00,2023/02/17,2022/09/29 11:49:38.949,2022/09/29 11:49:38.949,False,False,False,False,False,False,False,False,False,False,"要注意","重たいブロック"
85,"22","5505","ＶＢ１Ｐ","320",,"Ｐ３","4",16:15:00,17:15:00,2023/02/17,2022/09/29 11:49:38.950,2022/09/29 11:49:38.950,False,False,False,False,False,False,False,False,False,False,"要注意","重たいブロック"
86,"23","5505","ＸＳＭ３１Ｓ","ＣＲ１",,"554","4",17:15:00,18:30:00,2023/02/17,2022/09/29 11:49:38.951,2022/09/29 11:49:38.951,False,False,False,False,False,False,False,True,True,False,"要注意","重たいブロック"
87,"24","5205","３－９５ＦＰＳ","九東",,"825","5",8:00:00,8:30:00,2023/02/17,2022/09/29 11:49:38.952,2022/09/29 11:49:38.952,False,False,False,False,False,False,False,False,False,True,"要注意","重たいブロック"
88,"25","5192","８Ｇ－１８","Ｐ１０",,"４２３奥","6",11:30:00,12:30:00,2023/03/17,2022/09/29 11:49:38.953,2022/09/29 11:49:38.953,False,False,False,False,False,False,False,False,False,False,"要注意","重たいブロック"
89,"26","5205","１－２ＴＳ","１条",,"Ｊﾖｺ①","5",9:30:00,10:15:00,2023/02/17,2022/09/29 11:49:38.954,2022/09/29 11:49:38.954,False,False,False,False,False,False,False,False,False,True,"要注意","重たいブロック"
90,"27","5205","１－４ＴＰ","Mﾖｺ山",,"927","6",10:45:00,11:30:00,2023/03/17,2022/09/29 11:49:38.955,2022/09/29 11:49:38.955,False,False,False,False,False,False,False,False,False,False,"要注意","重たいブロック"
91,"28","5192","８Ｇ－１２","３１８中",,"825","5",8:30:00,9:30:00,2023/02/17,2022/09/29 11:49:38.956,2022/09/29 11:49:38.956,False,False,False,False,False,False,False,False,False,True,"要注意","重たいブロック"
92,"29","5205","6U-8PS","202",,"825","3",11:00:00,11:30:00,2023/02/17,2022/09/29 11:49:38.957,2022/09/29 11:49:38.957,False,False,False,False,False,False,False,False,False,True,"要注意","重たいブロック"
93,"30","5192","８Ｇ－１６","Ｐ５",,"４２３前","5",13:30:00,14:30:00,2023/02/17,2022/09/29 11:49:38.958,2022/09/29 11:49:38.958,False,False,False,False,False,False,False,False,False,True,"要注意","重たいブロック"
94,"31","5205","２－８ＨＰ","ＣＲ３",,"Ｋ","5",14:30:00,16:00:00,2023/02/17,2022/09/29 11:49:38.958,2022/09/29 11:49:38.958,False,False,False,False,False,False,False,False,False,True,"要注意","重たいブロック"
95,"32","5505","ＸＳＭ３１Ｐ","ＣＲ１",,"320","5",18:30:00,19:45:00,2023/02/17,2022/09/29 11:49:38.959,2022/09/29 11:49:38.959,False,False,False,False,False,False,False,False,False,True,"要注意","重たいブロック"
150,"1","5507","VB3S","L",,"ﾔｰﾄﾞ","5",15:45:00,16:30:00,2023/02/17,2022/12/16 16:02:37.327,2022/12/16 16:02:37.327,False,False,False,False,False,False,False,False,False,False,"要注意","重たいブロック"
151,"3","5507","GED1","501番地",,"ﾔｰﾄﾞ","2",9:00:00,9:45:00,2023/02/17,2022/12/16 16:02:37.327,2022/12/16 16:02:37.327,False,False,False,False,False,False,False,False,False,False,"要注意","重たいブロック"
152,"4","5298","1TF-1","ﾔｰﾄﾞ",,"402番地","5",9:30:00,10:00:00,2023/02/17,2022/12/16 16:02:37.327,2022/12/16 16:02:37.327,False,False,False,False,False,False,False,False,False,False,"要注意","重たいブロック"
153,"5","5298","1TE-1","ﾔｰﾄﾞ",,"501番地","4",10:00:00,10:30:00,2023/02/17,2022/12/16 16:02:37.327,2022/12/16 16:02:37.327,False,False,False,False,False,False,False,False,False,True,"要注意","重たいブロック"
154,"2","5507","D5S","M",,"ﾔｰﾄﾞ","1",15:45:00,16:30:00,2023/02/17,2022/12/16 16:02:37.327,2022/12/16 16:02:37.327,False,False,False,False,False,False,False,False,False,False,"要注意","重たいブロック"
155,"8","5507","4D6-SP/S","S4",,"ﾔｰﾄﾞ","2",15:00:00,16:00:00,2023/02/17,2022/12/16 16:02:37.327,2022/12/16 16:02:37.327,False,False,False,False,False,False,True,True,True,True,"要注意","重たいブロック"
156,"9","5298","6-3ALHP","S4",,"ﾔｰﾄﾞ","4",16:00:00,16:45:00,2023/02/17,2022/12/16 16:02:37.327,2022/12/16 16:02:37.327,False,False,False,False,False,False,False,False,False,True,"要注意","重たいブロック"
157,"11","5298","DB-1TP","ﾔｰﾄﾞ",,"S4","5",17:00:00,17:30:00,2023/02/17,2022/12/16 16:02:37.327,2022/12/16 16:02:37.327,False,False,False,False,False,False,True,True,True,True,"要注意","重たいブロック"
158,"12","5296","8-16 (UST)","ﾔｰﾄﾞ",,"S2","4",17:00:00,17:30:00,2023/02/17,2022/12/16 16:02:37.327,2022/12/16 16:02:37.327,False,False,False,False,False,False,False,False,False,True,"要注意","重たいブロック"
159,"6","5507","GB51C","S2",,"ﾔｰﾄﾞ","5",15:00:00,15:45:00,2023/02/17,2022/12/16 16:02:37.327,2022/12/16 16:02:37.327,False,False,False,False,False,False,False,False,False,False,"要注意","重たいブロック"
160,"7","5507","GSU51AS","S4",,"ﾔｰﾄﾞ","4",14:00:00,14:45:00,2023/02/17,2022/12/16 16:02:37.327,2022/12/16 16:02:37.327,False,False,False,False,False,False,True,True,True,False,"要注意","重たいブロック"
161,"10","5298","6-1ALBS","ﾔｰﾄﾞ",,"S4","4",8:00:00,8:45:00,2023/02/17,2022/12/16 16:02:37.327,2022/12/16 16:02:37.327,False,False,False,False,False,False,False,True,True,False,"要注意","重たいブロック"
162,"13","5298","6-1BIS BH","ﾔｰﾄﾞ",,"S2","5",8:00:00,8:30:00,2023/02/17,2022/12/16 17:05:46.268,2022/12/16 17:05:46.268,False,False,False,False,False,False,False,False,False,False,"要注意","重たいブロック"
269,"14","5507","U41-L","E棟",,"","5",10:00:00,11:00:00,2023/02/17,2022/12/19 11:51:04.954,2022/12/19 11:51:04.954,False,False,False,False,False,False,False,False,False,False,"要注意","重たいブロック"
270,"30","5506","ひな壇定盤(L)","Ｋ２",,"544","3",9:00:00,10:00:00,2023/02/17,2022/12/19 11:51:04.954,2022/12/19 11:51:04.954,False,False,False,False,False,False,False,False,False,True,"要注意","重たいブロック"
271,"4","5298","1TF-1","ﾔｰﾄﾞ",,"402番地","5",9:30:00,10:00:00,2023/02/17,2022/12/19 11:51:04.954,2022/12/19 11:51:04.954,False,False,False,False,False,False,False,False,False,False,"要注意","重たいブロック"
272,"3","5507","GED1","501番地",,"ﾔｰﾄﾞ","2",9:00:00,9:45:00,2023/02/17,2022/12/19 11:51:04.954,2022/12/19 11:51:04.954,False,False,False,False,False,False,False,False,False,False,"要注意","重たいブロック"
273,"12","5296","8-16 (UST)","ﾔｰﾄﾞ",,"S2","4",17:00:00,17:30:00,2023/02/17,2022/12/19 11:51:04.954,2022/12/19 11:51:04.954,False,False,False,False,False,False,False,False,False,True,"要注意","重たいブロック"
274,"5","5298","1TE-1","ﾔｰﾄﾞ",,"501番地","4",10:00:00,10:30:00,2023/02/17,2022/12/19 11:51:04.954,2022/12/19 11:51:04.954,False,False,False,False,False,False,False,False,False,True,"要注意","重たいブロック"
275,"52","5506","２Ｄ５-ＳＰ（Ｓ）","Ｋ前",,"Ｋ前","3",11:30:00,12:30:00,2023/02/17,2022/12/19 11:51:04.954,2022/12/19 11:51:04.954,False,False,False,False,False,False,False,False,False,True,"要注意","重たいブロック"
276,"44","5506","Ｇ４Ｄ５Ｓ","Ｋ２",,"843","4",16:30:00,17:30:00,2023/02/17,2022/12/19 11:51:04.954,2022/12/19 11:51:04.954,False,False,False,False,False,False,False,False,False,True,"要注意","重たいブロック"
277,"43","5506","ひな壇定盤(L)","５４４",,"J棟","4",16:30:00,17:15:00,2023/02/17,2022/12/19 11:51:04.954,2022/12/19 11:51:04.954,False,False,False,False,False,False,False,False,False,True,"要注意","重たいブロック"
278,"40","5506","Ｇ２Ｄ７ＰＳ","Ｐ１",,"Ｐ１０","4",13:30:00,14:30:00,2023/02/17,2022/12/19 11:51:04.954,2022/12/19 11:51:04.954,False,False,False,False,False,False,False,False,False,True,"要注意","重たいブロック"
279,"39","5506","ＧＳ３Ｐ","Ｐ１",,"322奥","4",11:15:00,12:00:00,2023/02/17,2022/12/19 11:51:04.954,2022/12/19 11:51:04.954,False,False,False,False,False,False,False,False,False,True,"要注意","重たいブロック"
280,"35","5506","Ｇ４Ｄ５Ｐ","Mﾖｺ山",,"843","3",17:15:00,18:00:00,2023/02/17,2022/12/19 11:51:04.954,2022/12/19 11:51:04.954,False,False,False,False,False,False,False,False,False,True,"要注意","重たいブロック"
281,"28","5506","ＶＳＬ５１Ｃ","２０６",,"９２７","3",8:00:00,8:30:00,2023/02/17,2022/12/19 11:51:04.954,2022/12/19 11:51:04.954,False,False,False,False,False,False,False,False,False,True,"要注意","重たいブロック"
282,"41","5205","架台片付け","",,"","4",14:30:00,15:00:00,2023/02/17,2022/12/19 11:51:04.954,2022/12/19 11:51:04.954,False,False,False,False,False,False,False,False,False,True,"要注意","重たいブロック"
283,"27","5506","１ＴＤー１","508",,"825","1",17:45:00,18:30:00,2023/02/17,2022/12/19 11:51:04.954,2022/12/19 11:51:04.954,False,False,False,False,False,False,False,False,False,True,"要注意","重たいブロック"
284,"26","5506","６Ｕー２ＬＢＳ","Mﾖｺ山",,"３１０前","4",17:30:00,18:15:00,2023/02/17,2022/12/19 11:51:04.954,2022/12/19 11:51:04.954,False,False,False,False,False,False,False,False,False,True,"要注意","重たいブロック"
285,"22","5506","ＧＬ１Ｓ","５３６",,"Ｋ２","1",10:00:00,11:00:00,2023/03/17,2022/12/19 11:51:04.954,2022/12/19 11:51:04.954,False,False,False,False,False,False,False,False,False,True,"要注意","重たいブロック"
286,"10","5298","6-1ALBS","ﾔｰﾄﾞ",,"S4","4",8:00:00,8:45:00,2023/02/17,2022/12/19 11:51:04.954,2022/12/19 11:51:04.954,False,False,False,False,False,False,False,False,False,False,"要注意","重たいブロック"
287,"8","5507","4D6-SP/S","S4",,"ﾔｰﾄﾞ","2",15:00:00,16:00:00,2023/02/17,2022/12/19 11:51:04.954,2022/12/19 11:51:04.954,False,False,False,False,False,False,False,False,False,True,"要注意","重たいブロック"
288,"7","5507","GSU51AS","S4",,"ﾔｰﾄﾞ","4",14:00:00,14:45:00,2023/02/17,2022/12/19 11:51:04.954,2022/12/19 11:51:04.954,False,False,False,False,False,False,False,False,False,False,"要注意","重たいブロック"
289,"2","5507","D5S","M",,"ﾔｰﾄﾞ","1",15:45:00,16:30:00,2023/02/17,2022/12/19 11:51:04.954,2022/12/19 11:51:04.954,False,False,False,False,False,False,False,False,False,False,"要注意","重たいブロック"
290,"1","5507","VB3S","L",,"ﾔｰﾄﾞ","5",15:45:00,16:30:00,2023/02/17,2022/12/19 11:51:04.954,2022/12/19 11:51:04.954,False,False,False,False,False,False,False,False,False,False,"要注意","重たいブロック"
291,"48","5205","８Ｇ－１８","Ｐ３",,"Ｐ８","5",11:45:00,12:30:00,2023/02/17,2022/12/19 11:51:04.954,2022/12/19 11:51:04.954,False,False,False,False,False,False,False,False,False,True,"要注意","重たいブロック"
292,"47","5205","８Ｇ－１４","523前",,"825","5",11:00:00,11:45:00,2023/02/17,2022/12/19 11:51:04.954,2022/12/19 11:51:04.954,False,False,False,False,False,False,False,False,False,True,"要注意","重たいブロック"
293,"6","5507","GB51C","S2",,"ﾔｰﾄﾞ","5",15:00:00,15:45:00,2023/02/17,2022/12/19 11:51:04.954,2022/12/19 11:51:04.954,False,False,False,False,False,False,False,False,False,False,"要注意","重たいブロック"
294,"9","5298","6-3ALHP","S4",,"ﾔｰﾄﾞ","4",16:00:00,16:45:00,2023/02/17,2022/12/19 11:51:04.954,2022/12/19 11:51:04.954,False,False,False,False,False,False,False,False,False,True,"要注意","重たいブロック"
295,"11","5298","DB-1TP","ﾔｰﾄﾞ",,"S4","5",17:00:00,17:30:00,2023/02/17,2022/12/19 11:51:04.954,2022/12/19 11:51:04.954,False,False,False,False,False,False,False,False,False,True,"要注意","重たいブロック"
296,"13","5298","6-1BIS BH","ﾔｰﾄﾞ",,"S2","5",8:00:00,8:30:00,2023/02/17,2022/12/19 11:51:04.954,2022/12/19 11:51:04.954,False,False,False,False,False,False,False,False,False,False,"要注意","重たいブロック"
297,"20","None","昼休み","",,"","3",12:30:00,13:30:00,2023/02/17,2022/12/19 11:51:04.954,2022/12/19 11:51:04.954,False,False,False,False,False,False,False,False,False,True,"要注意","重たいブロック"
298,"19","None","昼休み","",,"","2",12:30:00,13:30:00,2023/02/17,2022/12/19 11:51:04.954,2022/12/19 11:51:04.954,False,False,False,False,False,False,False,False,False,True,"要注意","重たいブロック"
299,"18","5506","HC1APS","E棟",,"","5",11:00:00,11:30:00,2023/02/17,2022/12/19 11:51:04.954,2022/12/19 11:51:04.954,False,False,False,False,False,False,False,False,False,False,"要注意","重たいブロック"
300,"17","5507","G5D5S","ﾔｰﾄﾞ",,"J棟","2",10:00:00,10:45:00,2023/02/17,2022/12/19 11:51:04.954,2022/12/19 11:51:04.954,False,False,False,False,False,False,False,False,False,False,"要注意","重たいブロック"
301,"51","5296","９－１８ＨＰ","Mﾖｺ山",,"工ﾖｺ海","5",17:15:00,18:00:00,2023/02/17,2022/12/19 11:51:04.954,2022/12/19 11:51:04.954,False,False,False,False,False,False,False,False,False,True,"要注意","重たいブロック"
302,"50","5296","２－１６ＨＰ","ＣＲ２",,"Ｋ２","5",15:00:00,16:15:00,2023/02/17,2022/12/19 11:51:04.954,2022/12/19 11:51:04.954,False,False,False,False,False,False,False,False,False,True,"要注意","重たいブロック"
303,"49","5296","６ＵＧ－４Ｐ","556",,"Ｐ１","5",14:15:00,15:00:00,2023/02/17,2022/12/19 11:51:04.954,2022/12/19 11:51:04.954,False,False,False,False,False,False,False,False,False,True,"要注意","重たいブロック"
304,"46","5296","ＤＢ－３ＰＳ","520",,"927海","5",9:00:00,10:00:00,2023/02/17,2022/12/19 11:51:04.954,2022/12/19 11:51:04.954,False,False,False,False,False,False,False,False,False,True,"要注意","重たいブロック"
305,"45","5296","Ｇ２－１６Ｐ（ＳＬ）","５１０山",,"５１０山","5",8:00:00,9:00:00,2023/02/17,2022/12/19 11:51:04.954,2022/12/19 11:51:04.954,False,False,False,False,False,False,False,False,False,True,"要注意","重たいブロック"
306,"38","5296","6UG-6Ｓ","ＣＲ２",,"554前","4",10:15:00,11:15:00,2023/02/17,2022/12/19 11:51:04.954,2022/12/19 11:51:04.954,False,False,False,False,False,False,False,False,False,False,"要注意","重たいブロック"
307,"37","5296","6UG-6P","ＣＲ２",,"554奥","4",9:00:00,10:15:00,2023/02/17,2022/12/19 11:51:04.954,2022/12/19 11:51:04.954,False,False,False,False,False,False,False,False,False,False,"要注意","重たいブロック"
308,"36","5296","１－８ＴＰ","Mﾖｺ海",,"927","3",18:00:00,18:45:00,2023/02/17,2022/12/19 11:51:04.954,2022/12/19 11:51:04.954,False,False,False,False,False,False,False,False,False,False,"要注意","重たいブロック"
309,"34","5296","１－８ＴＳ","ＣＲ２",,"424奥","3",16:15:00,17:15:00,2023/02/17,2022/12/19 11:51:04.954,2022/12/19 11:51:04.954,False,False,False,False,False,False,False,False,False,False,"要注意","重たいブロック"
310,"33","5296","６U-16P","Ｋ２",,"520","3",14:30:00,15:30:00,2023/02/17,2022/12/19 11:51:04.954,2022/12/19 11:51:04.954,False,False,False,False,False,False,False,False,False,False,"要注意","重たいブロック"
311,"32","5296","１－２ＴＰ","工ﾖｺ山",,"Ｋ","3",10:30:00,11:30:00,2023/02/17,2022/12/19 11:51:04.954,2022/12/19 11:51:04.954,False,False,False,False,False,False,False,False,False,False,"要注意","重たいブロック"
312,"31","5296","２－４ＵＳ","５５２山",,"825","3",10:00:00,10:30:00,2023/02/17,2022/12/19 11:51:04.954,2022/12/19 11:51:04.954,False,False,False,False,False,False,False,False,False,True,"要注意","重たいブロック"
313,"25","5296","１－２ＴＳ","ＣＲ２",,"Ｋ","1",13:30:00,14:45:00,2023/02/17,2022/12/19 11:51:04.954,2022/12/19 11:51:04.954,False,False,False,False,False,False,False,False,False,True,"要注意","重たいブロック"
314,"24","5296","１－２ＴＳ","５２３奥",,"８４３","1",11:45:00,12:30:00,2023/02/17,2022/12/19 11:51:04.954,2022/12/19 11:51:04.954,False,False,False,False,False,False,False,False,False,True,"要注意","重たいブロック"
315,"23","5296","２－１６ＳＨＰ(ﾋﾞﾙｼﾞ)","３１６海",,"Ｋ２","1",11:00:00,11:45:00,2023/02/17,2022/12/19 11:51:04.954,2022/12/19 11:51:04.954,False,False,False,False,False,False,False,False,False,True,"要注意","重たいブロック"
316,"16","5507","5D5-SUP","ﾔｰﾄﾞ",,"J棟","1",9:00:00,9:45:00,2023/02/17,2022/12/19 11:51:04.954,2022/12/19 11:51:04.954,False,False,False,False,False,False,False,False,False,False,"要注意","重たいブロック"
317,"15","5296","8-16 UST","E棟",,"","2",8:00:00,8:30:00,2023/02/17,2022/12/19 11:51:04.954,2022/12/19 11:51:04.954,False,False,False,False,False,False,False,False,False,False,"要注意","重たいブロック"
318,"42","5205","３Ｇ－２３０","ＣＲ２",,"825","4",15:00:00,16:30:00,2023/02/17,2022/12/19 11:51:04.954,2022/12/19 11:51:04.954,False,False,False,False,False,False,False,False,False,True,"要注意","重たいブロック"
